"Artwork","CulturalPhenomenon","Type"
"http://icondataset.org/ART1120","http://icondataset.org/CF1072","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1043","http://icondataset.org/CF1158","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1043","http://icondataset.org/CF1158","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1044","http://icondataset.org/CF1342","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1046","http://icondataset.org/CF1342","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1044","http://icondataset.org/CF1241","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1044","http://icondataset.org/CF1241","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1046","http://icondataset.org/CF1241","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1046","http://icondataset.org/CF1241","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1044","http://icondataset.org/CF1171","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1044","http://icondataset.org/CF1171","http://icondataset.org/iconographical-influence"
"http://icondataset.org/ART1045","http://icondataset.org/CF1229","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1045","http://icondataset.org/CF1229","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1048","http://icondataset.org/CF1229","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1048","http://icondataset.org/CF1229","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1086","http://icondataset.org/CF1229","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1086","http://icondataset.org/CF1229","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1260","http://icondataset.org/CF1229","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1260","http://icondataset.org/CF1229","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1047","http://icondataset.org/CF1300","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1047","http://icondataset.org/CF1300","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1050","http://icondataset.org/CF1300","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1050","http://icondataset.org/CF1300","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1050","http://icondataset.org/CF1286","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1050","http://icondataset.org/CF1286","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1051","http://icondataset.org/CF1276","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1051","http://icondataset.org/CF1276","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1051","http://icondataset.org/CF1265","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1051","http://icondataset.org/CF1265","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1051","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1051","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1062","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1062","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1065","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1065","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1195","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1195","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1196","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1196","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1197","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1197","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1249","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1249","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1250","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1250","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1251","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1251","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1252","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1252","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1253","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1253","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1254","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1254","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1512","http://icondataset.org/CF1231","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1512","http://icondataset.org/CF1231","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1052","http://icondataset.org/CF1367","http://icondataset.org/cultural-influence"
"http://icondataset.org/ART1053","http://icondataset.org/CF1367","http://icondataset.org/cultural-influence"
"http://icondataset.org/ART1052","http://icondataset.org/CF1314","http://icondataset.org/cultural-reinterpretation"
"http://icondataset.org/ART1053","http://icondataset.org/CF1314","http://icondataset.org/cultural-reinterpretation"
"http://icondataset.org/ART1054","http://icondataset.org/CF1314","http://icondataset.org/cultural-reinterpretation"
"http://icondataset.org/ART1057","http://icondataset.org/CF1314","http://icondataset.org/cultural-reinterpretation"
"http://icondataset.org/ART1058","http://icondataset.org/CF1314","http://icondataset.org/cultural-reinterpretation"
"http://icondataset.org/ART1054","http://icondataset.org/CF1368","http://icondataset.org/cultural-influence"
"http://icondataset.org/ART1057","http://icondataset.org/CF1368","http://icondataset.org/cultural-influence"
"http://icondataset.org/ART1058","http://icondataset.org/CF1368","http://icondataset.org/cultural-influence"
"http://icondataset.org/ART1054","http://icondataset.org/CF1020","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1055","http://icondataset.org/CF1155","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1056","http://icondataset.org/CF1155","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1056","http://icondataset.org/CF1039","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1064","http://icondataset.org/CF1039","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1066","http://icondataset.org/CF1039","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1240","http://icondataset.org/CF1039","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1060","http://icondataset.org/CF1033","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1061","http://icondataset.org/CF1033","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1062","http://icondataset.org/CF1019","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1064","http://icondataset.org/CF1318","http://icondataset.org/attitude"
"http://icondataset.org/ART1066","http://icondataset.org/CF1318","http://icondataset.org/attitude"
"http://icondataset.org/ART1064","http://icondataset.org/CF1030","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1066","http://icondataset.org/CF1030","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1066","http://icondataset.org/CF1311","http://icondataset.org/attitude"
"http://icondataset.org/ART1068","http://icondataset.org/CF1053","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1076","http://icondataset.org/CF1125","http://icondataset.org/formal-or-stylistic-phenomenon"
"http://icondataset.org/ART1076","http://icondataset.org/CF1125","http://icondataset.org/tendency"
"http://icondataset.org/ART1077","http://icondataset.org/CF1004","http://icondataset.org/reception-of-classical-antiquity"
